"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5537","login","Swag Labs Test Suite","Fri May 23 13:51:03 GMT 2025","passed","Fri May 23 13:51:08 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","495","login","Swag Labs Test Suite","Fri May 23 13:50:58 GMT 2025","passed","Fri May 23 13:50:59 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1131","logout","Swag Labs Test Suite","Fri May 23 13:51:20 GMT 2025","passed","Fri May 23 13:51:21 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1029","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:51:14 GMT 2025","passed","Fri May 23 13:51:15 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1073","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:51:09 GMT 2025","passed","Fri May 23 13:51:10 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1058","checkoutWithOneProduct","Swag Labs Test Suite","Fri May 23 13:51:05 GMT 2025","passed","Fri May 23 13:51:06 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithOneProduct"
"","1996","verifyCheckoutInfoValidation","Swag Labs Test Suite","Fri May 23 13:51:08 GMT 2025","passed","Fri May 23 13:51:10 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","verifyCheckoutInfoValidation"
"","2610","deleteProductsFromTheCart","Swag Labs Test Suite","Fri May 23 13:51:01 GMT 2025","passed","Fri May 23 13:51:04 GMT 2025","ProductTests","ProductTests","ProductTests","deleteProductsFromTheCart"
"","1297","cancelCheckout","Swag Labs Test Suite","Fri May 23 13:50:58 GMT 2025","passed","Fri May 23 13:50:59 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","cancelCheckout"
"","1882","addProductsToTheCart","Swag Labs Test Suite","Fri May 23 13:50:57 GMT 2025","passed","Fri May 23 13:50:59 GMT 2025","ProductTests","ProductTests","ProductTests","addProductsToTheCart"
"","6148","logout","Swag Labs Test Suite","Fri May 23 13:51:25 GMT 2025","passed","Fri May 23 13:51:31 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1050","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:51:11 GMT 2025","passed","Fri May 23 13:51:12 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1131","logout","Swag Labs Test Suite","Fri May 23 13:51:18 GMT 2025","passed","Fri May 23 13:51:19 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1417","validationForLockedOutUser","Swag Labs Test Suite","Fri May 23 13:51:32 GMT 2025","passed","Fri May 23 13:51:33 GMT 2025","LoginTests","LoginTests","LoginTests","validationForLockedOutUser"
"","544","sortProducts","Swag Labs Test Suite","Fri May 23 13:51:05 GMT 2025","passed","Fri May 23 13:51:05 GMT 2025","ProductTests","ProductTests","ProductTests","sortProducts"
"","560","login","Swag Labs Test Suite","Fri May 23 13:51:00 GMT 2025","passed","Fri May 23 13:51:01 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","722","login","Swag Labs Test Suite","Fri May 23 13:50:57 GMT 2025","passed","Fri May 23 13:50:57 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1125","logout","Swag Labs Test Suite","Fri May 23 13:51:21 GMT 2025","passed","Fri May 23 13:51:23 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1049","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:51:13 GMT 2025","passed","Fri May 23 13:51:14 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1058","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:51:16 GMT 2025","passed","Fri May 23 13:51:17 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","520","login","Swag Labs Test Suite","Fri May 23 13:51:02 GMT 2025","passed","Fri May 23 13:51:02 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1136","logout","Swag Labs Test Suite","Fri May 23 13:51:23 GMT 2025","passed","Fri May 23 13:51:24 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1555","checkoutWithMultipleProducts","Swag Labs Test Suite","Fri May 23 13:51:01 GMT 2025","passed","Fri May 23 13:51:03 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithMultipleProducts"
