"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Products","0","","1","0","Sort products","0"
"0","Login","0","","5","0","Logout","0"
"0","Login","1","","5","0","Login validation","0"
"0","Login","0","","5","0","Login","0"
"0","Checkout","0","","1","0","Checkout with one product","0"
"0","Checkout","0","","1","0","'Checkout Information' validation","0"
"0","Checkout","0","","1","0","Checkout with multiple products","0"
"0","Checkout","0","","1","0","Cancel checkout","0"
"0","Products","0","","1","0","Delete from the cart","0"
"0","Products","0","","1","0","Add to the cart","0"
